Set,Model,CV_AUC,AUC,F1,Precision,Recall,Brier
Set1_Accounting,Logistic Regression,0.7203,0.8241,0.284,0.1756,0.7419,0.1889
Set1_Accounting,Random Forest,0.7569,0.7882,0.3438,0.2268,0.7097,0.144
Set1_Accounting,XGBoost,0.7256,0.8071,0.2562,0.1512,0.8387,0.2413
Set1_Accounting,LightGBM,0.7243,0.8063,0.2551,0.1515,0.8065,0.2425
Set1_Accounting,Altman Z-Score,,0.784,0.2143,0.1205,0.9677,0.075
Set2_DD,Logistic Regression,0.7333,0.8153,0.2462,0.1463,0.7742,0.21
Set2_DD,Random Forest,0.7665,0.8069,0.3143,0.2018,0.7097,0.1502
Set2_DD,XGBoost,0.7378,0.7987,0.2513,0.1488,0.8065,0.236
Set2_DD,LightGBM,0.7289,0.7984,0.2441,0.1429,0.8387,0.2572
Set2_DD,Altman Z-Score,,0.784,0.2143,0.1205,0.9677,0.075
Set3_Macro,Logistic Regression,0.7574,0.7504,0.2,0.1135,0.8387,0.3021
Set3_Macro,Random Forest,0.7825,0.7755,0.2642,0.1641,0.6774,0.177
Set3_Macro,XGBoost,0.7479,0.7515,0.1848,0.1029,0.9032,0.407
Set3_Macro,LightGBM,0.7481,0.752,0.1731,0.0961,0.871,0.4144
Set3_Macro,Altman Z-Score,,0.784,0.2143,0.1205,0.9677,0.075
