Feature,Mean_Abs_SHAP
EQFA,1.367577701142985
distance_to_default,0.6990904954105976
NITA,0.5311978662262963
LTFFA,0.5039089711779525
GPSA,0.46387325549337893
LIABTA,0.42333894901410996
QR,0.4139472086935493
CFTA,0.3991326035136607
LNSA,0.316410996467611
EQLIAB,0.3127277930776949
LTLTA,0.30686988130094267
EBITDASA,0.28952387738402596
EQFA_chg,0.20765903580159847
SATA,0.2025981761980565
LNTA,0.18946213057959108
NPSA,0.16258372035887825
EBITDATA,0.11666225686156038
EBITTA,0.11666225686156038
OCACL,0.10928229940723706
NITE,0.1022875098592805
LIABTA_chg,0.10184889721410498
CFG,0.10145154065592749
EQTA,0.09390364479166605
EQG,0.09199192102695529
CFTA_chg,0.09048600045320218
EBITDAFE,0.0899334951688186
CFSA,0.07961474485624029
NITA_chg,0.07728742711828597
CR,0.07425521459030535
SG,0.06336191770563235
NPG,0.040321116521783204
CFEQ,0.03408523593909766
DE,0.032815988221697866
EBITDAEQ,0.017076810058081517
EBITDA_G,0.012814294966951066
EBITDAFE_chg,0.006780549120590022
NPSA_chg,0.0007579388911533785
